round,ligand_id,smiles,MW,cLogP,logD7.4,logD7.4_est,TPSA,HBD,HBA,RotB,logS_ESOL_est,efflux_risk_0to2,E_dock,CNS_MPO_TE2052,Ki_note
R3,emap3_Bn-3F_4OMe_CH2CF2CF3,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C(F)C(F)(F)F,535.473,4.487,,3.801,82.250,0,5,8,-5.459,1,-6.710,4.200,
R3,emap3_Bn-3F_4OMe_CH2CH2CH2CF2CF3,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CCC(F)C(F)(F)F,563.527,4.747,,4.061,82.250,0,5,10,-5.664,2,-6.447,2.400,
R3,emap3_Bn-3F_4OMe_CH2CH2CF2CH3,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)C,495.530,3.814,,3.129,82.250,0,5,9,-4.721,0,-6.070,5.400,
R3,emap3_Bn-3F_4OMe_OCH2CF2CF3,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COC(F)C(F)(F)F,565.499,4.288,,3.526,91.480,0,6,10,-5.388,2,-6.332,3.000,
R3,emap3_Bn-3F_4OMe_OCH2CF2CH3,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COC(F)C,511.529,3.746,,2.984,91.480,0,6,10,-4.711,2,-6.269,4.200,
R3,emap3_Bn-3F_4OMe_OCH2CH2CF2CF3,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COCC(F)C(F)(F)F,579.526,4.331,,3.569,91.480,0,6,11,-5.436,2,-5.894,3.000,
R3,emap3_Bn-3F_4OMe_CH2CF2CH2F,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C(F)CF,499.493,3.894,,3.209,82.250,0,5,9,-4.796,0,-6.103,5.400,
R3,emap3_Bn-3F_4OMe_CH2CH2CF2CH2F,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)CF,513.520,3.764,,3.079,82.250,0,5,10,-4.735,1,-6.510,4.800,
R3,emap3_Bn-3F_4OMe_OCH2CF2CH2F,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COC(F)CF,529.519,3.696,,2.933,91.480,0,6,11,-4.725,2,-5.951,4.200,
R3,emap3_Bn-3F_4OMe_CH2CH2CF2CH2CHF2,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)C(F)F,531.510,4.060,,3.374,82.250,0,5,10,-5.033,1,-6.205,4.200,
R3,emap3_Bn-3F_4OMe_CH2CH2CF2CH2CF3,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)C(F)(F)F,549.500,4.357,,3.671,82.250,0,5,9,-5.398,1,-6.463,4.200,
