"t_min","Cp","Ct_extrav","Ct_keep"
77.50002,0.0002824538,0.000116766471,TRUE
78,0.0002812739,0.000116315796,TRUE
78.49998,0.0002801038,0.000115868955,TRUE
79.00002,0.0002789431,0.000115425747,TRUE
79.5,0.0002777919,0.000114986273,TRUE
79.99998,0.0002766499,0.000114550433,TRUE
80.50002,0.0002755171,0.000114118128,TRUE
81,0.0002743934,0.000113689358,TRUE
81.49998,0.0002732787,0.000113264125,TRUE
82.00002,0.0002721727,0.000112842327,TRUE
82.5,0.0002710754,0.000112423867,TRUE
82.99998,0.0002699867,0.000112008844,TRUE
83.50002,0.0002689065,0.000111597059,TRUE
84,0.0002678347,0.000111188613,TRUE
84.49998,0.0002667711,0.000110783305,TRUE
85.00002,0.0002657157,0.000110381137,TRUE
85.5,0.0002646685,0.000109982309,TRUE
85.99998,0.0002636293,0.000109586521,TRUE
86.50002,0.000262598,0.000109193773,TRUE
87,0.0002615746,0.000108804167,TRUE
87.49998,0.0002605589,0.000108417603,TRUE
88.00002,0.0002595509,0.00010803388,TRUE
88.5,0.0002585504,0.0001076532,TRUE
88.99998,0.0002575573,0.000107275363,TRUE
89.50002,0.0002565717,0.00010690037,TRUE
90,0.0002555932,0.00010652822,TRUE
