Time [h],PeripheralVenousBlood-Analog6-Plasma (Peripheral Venous Blood) [µmol/l],ArterialBlood-Plasma-Analog6-Concentration in container [µmol/l],Brain-Analog6-Tissue [µmol/l],Liver-Analog6-Tissue (Liver) [µmol/l],Brain-Intracellular-Analog6-Concentration in container [µmol/l],Brain-Interstitial-Analog6-Concentration in container [µmol/l],Brain-BloodCells-Analog6-Concentration in container [µmol/l],Brain-Plasma-Analog6-Concentration in container [µmol/l],PeripheralVenousBlood-Analog6-Whole Blood (Peripheral Venous Blood) [µmol/l],ArterialBlood-Analog6-Whole Blood [µmol/l]
0.1816667,0.0009244929,0.0008905625,0.000003645931,0.001516276,0.000002165723,0.0003577857,0.0002508479,0.0008931918,0.0006113698,0.0005894362
0.1833333,0.0009203018,0.0008867481,0.000003649671,0.001508275,0.000002175986,0.0003562287,0.0002497704,0.0008893567,0.0006086048,0.0005869112
0.185,0.0009161601,0.0008829614,0.000003653411,0.001500329,0.000002186204,0.0003546827,0.000248701,0.0008855495,0.0006058718,0.0005844047
0.1866667,0.0009120664,0.0008792025,0.000003657152,0.00149244,0.000002196378,0.0003531474,0.0002476394,0.00088177,0.0006031702,0.0005819167
0.1883333,0.0009080198,0.0008754713,0.000003660895,0.001484607,0.000002206508,0.0003516231,0.0002465857,0.0008780184,0.0006004993,0.000579447
0.19,0.0009040197,0.0008717683,0.000003664642,0.00147683,0.000002216593,0.0003501102,0.00024554,0.000874295,0.0005978587,0.000576996
0.1916667,0.0009000648,0.0008680929,0.000003668391,0.001469109,0.000002226636,0.0003486083,0.0002445022,0.0008705993,0.0005952475,0.0005745634
0.1933333,0.0008961539,0.0008644449,0.000003672142,0.001461445,0.000002236635,0.0003471172,0.0002434722,0.0008669312,0.0005926651,0.000572149
0.195,0.0008922861,0.0008608244,0.000003675896,0.00145384,0.000002246592,0.0003456369,0.0002424499,0.0008632906,0.0005901109,0.0005697527
0.1966667,0.0008884605,0.0008572309,0.000003679652,0.001446292,0.000002256506,0.0003441674,0.0002414354,0.0008596771,0.0005875842,0.0005673745
0.1983333,0.000884676,0.0008536644,0.00000368341,0.001438803,0.000002266378,0.0003427084,0.0002404285,0.0008560907,0.0005850843,0.0005650141
0.2,0.0008809319,0.0008501248,0.00000368717,0.001431373,0.000002276208,0.0003412599,0.0002394292,0.0008525312,0.0005826108,0.0005626715
0.2016667,0.0008772281,0.0008466124,0.000003690935,0.001423998,0.000002285996,0.0003398227,0.0002384377,0.0008489991,0.0005801637,0.000560347
0.2033333,0.0008735632,0.0008431269,0.000003694704,0.001416682,0.000002295743,0.0003383961,0.0002374537,0.0008454939,0.0005777421,0.0005580403
0.205,0.0008699366,0.0008396679,0.000003698477,0.001409423,0.000002305449,0.0003369802,0.0002364773,0.0008420154,0.0005753454,0.0005557513
0.2066667,0.0008663473,0.0008362353,0.000003702252,0.001402222,0.000002315115,0.0003355749,0.0002355084,0.0008385635,0.0005729732,0.0005534797
0.2083333,0.0008627946,0.000832829,0.000003706032,0.001395079,0.00000232474,0.00033418,0.0002345469,0.0008351378,0.000570625,0.0005512255
0.21,0.0008592778,0.0008294487,0.000003709814,0.001387995,0.000002334325,0.0003327955,0.0002335928,0.0008317385,0.0005683003,0.0005489886
0.2116667,0.000855796,0.0008260945,0.0000037136,0.001380969,0.000002343871,0.0003314214,0.0002326461,0.0008283651,0.0005659985,0.0005467689
0.2133333,0.0008523495,0.0008227661,0.000003717391,0.001373998,0.000002353377,0.0003300578,0.0002317067,0.0008250177,0.0005637199,0.0005445664
0.215,0.0008489371,0.0008194634,0.000003721186,0.001367085,0.000002362844,0.0003287045,0.0002307746,0.0008216962,0.0005614636,0.0005423808
0.2166667,0.0008455583,0.0008161862,0.000003724986,0.001360227,0.000002372272,0.0003273616,0.0002298497,0.0008184004,0.0005592293,0.0005402123
