Time [h],PeripheralVenousBlood-Analog3-Plasma (Peripheral Venous Blood) [µmol/l],ArterialBlood-Plasma-Analog3-Concentration in container [µmol/l],Brain-Analog3-Tissue [µmol/l],Liver-Analog3-Tissue (Liver) [µmol/l],Brain-Intracellular-Analog3-Concentration in container [µmol/l],Brain-Interstitial-Analog3-Concentration in container [µmol/l],Brain-BloodCells-Analog3-Concentration in container [µmol/l],Brain-Plasma-Analog3-Concentration in container [µmol/l],PeripheralVenousBlood-Analog3-Whole Blood (Peripheral Venous Blood) [µmol/l],ArterialBlood-Analog3-Whole Blood [µmol/l]
0.2066667,0.0006235894,0.0006237462,0.000002870729,0.001725739,0.000001907891,0.0002332298,0.0002556129,0.0006249672,0.0004507543,0.0004503296
0.2083333,0.0006212093,0.0006217143,0.000002874822,0.001719211,0.000001915221,0.0002324593,0.0002547737,0.0006229259,0.0004490503,0.0004488597
0.21,0.0006188637,0.0006196937,0.000002878908,0.001712695,0.000001922526,0.0002316933,0.0002539394,0.0006208961,0.0004473702,0.0004473982
0.2116667,0.0006165516,0.0006176844,0.000002882989,0.001706192,0.000001929808,0.0002309315,0.0002531101,0.0006188778,0.0004457132,0.000445945
0.2133333,0.0006142718,0.0006156864,0.000002887063,0.001699703,0.000001937065,0.0002301741,0.0002522857,0.0006168709,0.0004440786,0.0004445
0.215,0.0006120233,0.0006136995,0.000002891132,0.00169323,0.000001944299,0.0002294209,0.0002514662,0.0006148755,0.0004424657,0.0004430633
0.2166667,0.0006098051,0.0006117238,0.000002895195,0.001686772,0.00000195151,0.0002286719,0.0002506515,0.0006128914,0.0004408738,0.0004416348
0.2183333,0.0006076163,0.0006097589,0.000002899252,0.001680332,0.000001958696,0.0002279272,0.0002498415,0.0006109182,0.0004393024,0.0004402141
0.22,0.0006054564,0.0006078047,0.000002903303,0.001673909,0.00000196586,0.0002271866,0.0002490362,0.0006089559,0.0004377509,0.0004388014
0.2216667,0.000603324,0.0006058614,0.000002907348,0.001667505,0.000001973,0.0002264502,0.0002482354,0.0006070045,0.0004362187,0.0004373965
0.2233333,0.0006012186,0.0006039286,0.000002911387,0.001661121,0.000001980116,0.0002257179,0.0002474393,0.0006050639,0.0004347051,0.0004359995
0.225,0.0005991393,0.0006020063,0.00000291542,0.001654757,0.00000198721,0.0002249897,0.0002466476,0.0006031338,0.0004332097,0.0004346101
0.2266667,0.0005970852,0.0006000945,0.000002919448,0.001648414,0.000001994281,0.0002242657,0.0002458603,0.0006012142,0.0004317319,0.0004332284
0.2283333,0.0005950558,0.0005981929,0.000002923471,0.001642093,0.000002001329,0.0002235459,0.0002450774,0.000599305,0.0004302711,0.0004318541
0.23,0.0005930502,0.0005963016,0.000002927487,0.001635795,0.000002008354,0.00022283,0.000244299,0.0005974062,0.000428827,0.0004304874
0.2316667,0.0005910679,0.0005944209,0.000002931498,0.001629519,0.000002015357,0.0002221181,0.000243525,0.0005955181,0.0004273991,0.0004291284
0.2333333,0.0005891082,0.0005925503,0.000002935502,0.001623266,0.000002022338,0.0002214101,0.0002427554,0.0005936402,0.000425987,0.0004277768
0.235,0.0005871704,0.0005906898,0.000002939501,0.001617038,0.000002029296,0.0002207061,0.00024199,0.0005917724,0.0004245902,0.0004264326
0.2366667,0.000585254,0.0005888392,0.000002943494,0.001610835,0.000002036232,0.0002200059,0.0002412288,0.0005899147,0.0004232082,0.0004250956
0.2383333,0.0005833583,0.0005869985,0.000002947481,0.001604656,0.000002043146,0.0002193096,0.0002404718,0.0005880668,0.0004218408,0.0004237658
0.24,0.0005814828,0.0005851675,0.000002951462,0.001598504,0.000002050038,0.0002186171,0.0002397189,0.0005862287,0.0004204874,0.0004224431
0.2416667,0.000579627,0.0005833461,0.000002955436,0.001592377,0.000002056908,0.0002179283,0.00023897,0.0005844001,0.0004191478,0.0004211273
0.2433333,0.0005777904,0.0005815348,0.000002959406,0.001586277,0.000002063757,0.0002172434,0.0002382253,0.0005825819,0.0004178216,0.000419819
0.245,0.0005759724,0.0005797332,0.000002963369,0.001580204,0.000002070584,0.0002165622,0.0002374848,0.0005807733,0.0004165085,0.0004185177
0.2466667,0.0005741727,0.0005779412,0.000002967326,0.001574157,0.00000207739,0.0002158847,0.0002367484,0.0005789745,0.0004152082,0.0004172235
0.2483333,0.0005723907,0.0005761588,0.000002971277,0.001568138,0.000002084174,0.0002152108,0.0002360159,0.0005771854,0.0004139203,0.0004159362
0.25,0.0005706258,0.000574386,0.000002975222,0.001562147,0.000002090937,0.0002145405,0.0002352875,0.0005754058,0.0004126444,0.0004146559
0.2583333,0.0005620462,0.0005656632,0.000002994855,0.001532618,0.000002124439,0.0002112419,0.000231705,0.0005666502,0.0004064372,0.0004083572
0.2666667,0.0005538404,0.000557173,0.00000301434,0.001503816,0.000002157428,0.0002080305,0.00022822,0.0005581288,0.0004004936,0.0004022276
0.275,0.0005459691,0.0005489101,0.000003033682,0.001475759,0.000002189917,0.0002049046,0.0002248298,0.0005498356,0.0003947866,0.0003962629
0.2833333,0.0005383993,0.0005408691,0.000003052892,0.001448452,0.00000222192,0.000201863,0.0002215319,0.0005417656,0.0003892939,0.0003904593
0.2916667,0.0005311044,0.0005330447,0.000003071973,0.001421897,0.00000225345,0.0001989038,0.0002183236,0.000533913,0.000383997,0.0003848125
0.3,0.0005240617,0.0005254316,0.000003090929,0.001396089,0.000002284519,0.0001960246,0.0002152028,0.0005262725,0.0003788805,0.0003793187
0.3083333,0.0005172525,0.0005180244,0.000003109764,0.00137102,0.00000231514,0.0001932235,0.0002121671,0.0005188386,0.0003739314,0.0003739739
0.3166667,0.0005106606,0.0005108177,0.00000312848,0.001346677,0.000002345325,0.0001904982,0.0002092141,0.0005116062,0.0003691386,0.0003687742
0.325,0.0005042715,0.0005038062,0.000003147078,0.001323048,0.000002375087,0.000187846,0.0002063417,0.0005045701,0.000364492,0.0003637156
0.3333333,0.0004980741,0.0004969845,0.000003165565,0.001300114,0.000002404435,0.000185266,0.0002035474,0.0004977243,0.0003599838,0.0003587941
0.3416667,0.0004920558,0.0004903469,0.00000318394,0.001277862,0.000002433382,0.0001827548,0.000200829,0.0004910636,0.0003556054,0.0003540057
