ligand_id,logD7.4_est,TPSA,E_dock
emap3_Bn-4Cl_CH2CF2H,3.749,73.02,-6.108
emap3_Bn-4Cl_CH2CH2CF2H,3.619,73.02,-6.245
emap3_Bn-4Cl_OCH2CH2CH2CHF2,3.906,82.25,-5.196
emap3_Bn-4Cl_CH2CH2CF2CF3,4.254,73.02,-6.479
emap3_Bn-4Cl_CH2CF2CF3,4.384,73.02,-6.37
emap3_Bn-4Cl_CH2CH2CH2CF2CF3,4.644,73.02,-6.502
emap3_Bn-4Cl_CH2CH2CF2CH3,3.712,73.02,-6.31
emap3_Bn-4Cl_OCH2CF2CF3,4.109,82.25,-6.284
emap3_Bn-4Cl_OCH2CF2CH3,3.566,82.25,-6.28
emap3_Bn-4Cl_OCH2CH2CF2CF3,4.151,82.25,-6.217
emap3_Bn-4Cl_CH2CF2CH2F,3.791,73.02,-6.215
emap3_Bn-4Cl_CH2CH2CF2CH2F,3.661,73.02,-6.183
emap3_Bn-4Cl_OCH2CF2CH2F,3.516,82.25,-5.65
emap3_Bn-4Cl_CH2CH2CF2CH2CHF2,3.957,73.02,-6.385
emap3_Bn-4Cl_CH2CH2CF2CH2CF3,4.254,73.02,-6.433
emap3_Bn-4Cl_OCH2CH2CF2CH2F,3.558,82.25,-5.745
emap3_Bn-4Cl_CH2CH2CF2CH2CH2F,4.051,73.02,-6.406
emap3_Bn-4Cl_CH2CF2CH2CH2F,4.181,73.02,-6.407
emap3_Bn-4Cl_CH2CF2CH2CHF2,4.087,73.02,-6.53
emap3_Bn-4Cl_CH2CF2CH2CF3,4.384,73.02,-6.429
emap3_Bn-4Cl_OCH2CF2CH2CH2F,3.906,82.25,-5.356
emap3_Bn-4Cl_OCH2CH2CF2CH2CH2F,3.948,82.25,-6.062
emap3_Bn-4Cl_CH2CH2CF2CH2CH2CHF2,4.347,73.02,-5.846
emap3_Bn-4Cl_CH2CH2CF2CH2CH2CF3,4.644,73.02,-6.634
emap3_Bn-3Cl_Me,2.891,73.02,-5
emap3_Bn-3Cl_Et,3.374,73.02,-6.467
emap3_Bn-3Cl_nPr,3.764,73.02,-6.283
emap3_Bn-3Cl_nBu,4.154,73.02,-6.348
emap3_Bn-3Cl_CH2F,3.281,73.02,-6.51
emap3_Bn-3Cl_CH2CH2F,3.323,73.02,-6.162
