endpoint,endpoint_label,candidate,n_independent_trajectories,replicate_1,replicate_2,replicate_3,mean,sd,median,min,max,range
fixed_contacts_delta_final_minus_first,Fixed-pocket contact drift,AC-5216,3,-1.3874695498781977,-10.485949943799774,-5.179632718530872,-5.684350737402948,4.570190540729615,-5.179632718530872,-10.485949943799774,-1.3874695498781977,9.098480393921577
com_delta_final_minus_first_A,COM-to-pocket drift,A3,3,0.1271456734672611,-2.3484710844895016,3.393196937448014,0.3906238421419245,2.879887754333679,0.1271456734672611,-2.3484710844895016,3.393196937448014,5.741668021937516
com_delta_final_minus_first_A,COM-to-pocket drift,A7,3,-0.9726093915238012,-0.0956515506798565,0.2331237919922379,-0.2783790500704733,0.6232897654647408,-0.0956515506798565,-0.9726093915238012,0.2331237919922379,1.2057331835160392
com_delta_final_minus_first_A,COM-to-pocket drift,A8,3,-2.365017033233072,-1.277585698260121,0.5394616796782303,-1.0343803506049876,1.4674333985856955,-1.277585698260121,-2.365017033233072,0.5394616796782303,2.9044787129113026
com_delta_final_minus_first_A,COM-to-pocket drift,A15,3,-0.0418508341342178,1.5325151377891275,1.1344246845664898,0.8750296627404666,0.8186094223734706,1.1344246845664898,-0.0418508341342178,1.5325151377891275,1.5743659719233454
com_delta_final_minus_first_A,COM-to-pocket drift,AC-5216,3,0.0207990712448387,1.657740652040718,1.3885757000757346,1.0223718077870971,0.8777661435599684,1.3885757000757346,0.0207990712448387,1.657740652040718,1.6369415807958794
ligand_rmsd_delta_final_minus_first_A,Ligand RMSD drift,A3,3,0.8130919288696261,-0.3893764378983908,4.2015578025854285,1.5417577645188878,2.380626960517652,0.8130919288696261,-0.3893764378983908,4.2015578025854285,4.590934240483819
ligand_rmsd_delta_final_minus_first_A,Ligand RMSD drift,A7,3,0.694906092044866,-0.1500980025383596,-0.1471625723916565,0.13254850570494994,0.48701816739530224,-0.1471625723916565,-0.1500980025383596,0.694906092044866,0.8450040945832256
ligand_rmsd_delta_final_minus_first_A,Ligand RMSD drift,A8,3,0.0524667352301131,-0.2695267220204465,1.2694698678195095,0.35080329367639207,0.8117149453249773,0.0524667352301131,-0.2695267220204465,1.2694698678195095,1.538996589839956
ligand_rmsd_delta_final_minus_first_A,Ligand RMSD drift,A15,3,0.3319427064250559,2.9135604347403454,3.5124815018236264,2.2526615476630094,1.6901323206967829,2.9135604347403454,0.3319427064250559,3.5124815018236264,3.1805387953985704
ligand_rmsd_delta_final_minus_first_A,Ligand RMSD drift,AC-5216,3,0.5634101214762861,2.5032390435976852,3.250519641119908,2.1057229353979596,1.386958429387318,2.5032390435976852,0.5634101214762861,3.250519641119908,2.687109519643622
